20220209-YOK-NFe23220289850341001484550110015377161540984370-a00;;;;;;;;
GRENDENE S/A - FILIAL 5 (FOR);;;;;;;;
*89850341001484;;;;;;;;
MINI MELISSA BABY;;;;;;;;
adm@trendymail.com.br, marco.ganzer@grendene.com.br, andre.rigoni@grendene.com.br;;;;;;;;
1537716;;;;;;;;
11;;;;;;;;
BABY;;;;;;;;
1;33580AB0910178;;SANDALIA MINI MELISSA SUN PRETO;PRETO;17/18;1;40,89;BABY
2;33580AB0910190;;SANDALIA MINI MELISSA SUN PRETO;PRETO;19;1;40,89;BABY
3;33580AB0910201;;SANDALIA MINI MELISSA SUN PRETO;PRETO;20/21;2;40,89;BABY
4;33580AB0910220;;SANDALIA MINI MELISSA SUN PRETO;PRETO;22;3;40,89;BABY
5;33580AB0910234;;SANDALIA MINI MELISSA SUN PRETO;PRETO;23/24;3;40,89;BABY
6;33580AB0910250;;SANDALIA MINI MELISSA SUN PRETO;PRETO;25;2;40,89;BABY
7;33580AB0910267;;SANDALIA MINI MELISSA SUN PRETO;PRETO;26/27;3;40,89;BABY
8;33580AB0910280;;SANDALIA MINI MELISSA SUN PRETO;PRETO;28;3;40,89;BABY
9;33580AB0930178;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;17/18;2;40,89;BABY
10;33580AB0930190;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;19;2;40,89;BABY
11;33580AB0930201;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;20/21;4;40,89;BABY
12;33580AB0930220;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;22;6;40,89;BABY
13;33580AB0930234;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;23/24;6;40,89;BABY
14;33580AB0930250;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;25;4;40,89;BABY
15;33580AB0930267;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;26/27;6;40,89;BABY
16;33580AB0930280;;SANDALIA MINI MELISSA SUN VIDRO GLIT;VIDRO GLITTER/ROSA;28;6;40,89;BABY
17;33580AD2650178;;SANDALIA MINI MELISSA SUN AZUL;AZUL;17/18;1;40,89;BABY
18;33580AD2650190;;SANDALIA MINI MELISSA SUN AZUL;AZUL;19;1;40,89;BABY
19;33580AD2650201;;SANDALIA MINI MELISSA SUN AZUL;AZUL;20/21;2;40,89;BABY
20;33580AD2650220;;SANDALIA MINI MELISSA SUN AZUL;AZUL;22;3;40,89;BABY
21;33580AD2650234;;SANDALIA MINI MELISSA SUN AZUL;AZUL;23/24;3;40,89;BABY
22;33580AD2650250;;SANDALIA MINI MELISSA SUN AZUL;AZUL;25;2;40,89;BABY
23;33580AD2650267;;SANDALIA MINI MELISSA SUN AZUL;AZUL;26/27;3;40,89;BABY
24;33580AD2650280;;SANDALIA MINI MELISSA SUN AZUL;AZUL;28;3;40,89;BABY
25;33580AD2660178;;SANDALIA MINI MELISSA SUN ROSA;ROSA;17/18;2;40,89;BABY
26;33580AD2660190;;SANDALIA MINI MELISSA SUN ROSA;ROSA;19;2;40,89;BABY
27;33580AD2660201;;SANDALIA MINI MELISSA SUN ROSA;ROSA;20/21;4;40,89;BABY
28;33580AD2660220;;SANDALIA MINI MELISSA SUN ROSA;ROSA;22;6;40,89;BABY
29;33580AD2660234;;SANDALIA MINI MELISSA SUN ROSA;ROSA;23/24;6;40,89;BABY
30;33580AD2660250;;SANDALIA MINI MELISSA SUN ROSA;ROSA;25;4;40,89;BABY
31;33580AD2660267;;SANDALIA MINI MELISSA SUN ROSA;ROSA;26/27;6;40,89;BABY
32;33580AD2660280;;SANDALIA MINI MELISSA SUN ROSA;ROSA;28;6;40,89;BABY
